Kérdés;Mintaválasz;Kulcssazvak;Tipikus hibák;Témakör;Nehézség
Csoportosítsd a légköri gázokat! Írj példákat az egyes csoportokba tartozó gázokra!;A légköri gázok három csoportját különböztetjük meg: állandó, változó és erősen változó gázok. Állandó gáz az oxigén és a nitrogén, változó gáz a szén-dioxid és a metán, erősen változó gázok a vízgőz, szénmonoxid és különböző szennyező anyagok.;állandó gázok, változó gázok, erősen változó gázok;;🌤️ Légkör;könnyű
A troposzférában miért csökken felfelé (a Nap felé) haladva a hőmérséklet?;Azért csökken felfelé haladva a hőmérséklet, mert a levegőt nem közvetlenül melegíti a napsugárzás, hanem a földfelszín közvetítésével.;felszín;A földfelszín magasabb pontjai közelebb vannak a Naphoz.;🌤️ Légkör;közepes
Hogyan működik az üvegházhatás?;A légkör beengedi a rövid hullámhosszú, nagy energiájú napsugárzást, ami felmelegíti a földfelszínt, de a kisugárzott, nagyobb hullámhosszú de kisebb energiájú sugárzás nem tud távozni a légkörből az üvegház hatású gázok, például a szén-dioxid és a metán miatt.;üvegházhatású gázok, szén-dioxid, metán;;🌤️ Légkör;nehéz
Mi határozza meg, hogy merről merre fúj a szél és mely tényezők befolyásolják a szél irányát?;A szél irányát alapvetően a légnyomáskülönbség határozza meg. A szél a magas nyomából fúj az alacsony nyomás felé. A szél irányát befolyásolja az eltérítő vagy Coriolis-erő és a domborzat.;légnyomás, Coriolis-erő, domborzat;;🌤️ Légkör;közepes
A Föld melyik övezetében melyik globális szelek jellemzők?;A forró övezetben a passzát szél, a mérsékelt övezetben a nyugatias szelek, a hideg övezetben pedig a sarki szelek jellemzők.;forró övezet, passzát, mérsékelt övezet, nyugatias szelek, hideg övezet, sarki szelek;;🌤️ Légkör;könnyű
Melyek a csapadékképződés feltételei?;A csapadékképződés egyik feltétele a harmatpont elérése, tehát a levegőnek le kell hűlnie arra a hőmérsékletre, amelyen telítetté válik vízgőzzel. Másik feltétel a kondenzációs magvak jelenléte, amelyek felületén a vízgőz kicsapódik. Ilyenek a por, a pollenek, a sókristályok.;harmatpont, kondenzációs magok;;🌤️ Légkör;közepes
Hogyan lehet az időjárásba történő beavatkozással mérsékelni a jégeső okozta károkat?;A zivatarfelhőbe mesterséges kondenzációs magokat, például ezüst jodid kristályokat juttatnak, ezért a kevés nagy jég helyett sok kis jégszemcse keletkezik, így kisebb lesz a jégkár.;ezüst jodid, kondenzációs magok;;🌤️ Légkör;közepes
Milyen hatással vannak a mérsékelt övi ciklonok és anticiklonok az időjárásra?;A ciklon csapadékos időt, az anticiklon száraz időt eredményez.;ciklon, csapadékos, anticiklon, száraz;;🌤️ Légkör;közepes
Mutasd be a frontok két típusát (melyik típus milyen időjárást eredményez)!;A melegfront hosszan tartó csendes esőt, a hidegfront rövid ideig tartó heves esőzést, záport és zivatart okoz.;hidegfront, zápor, zivatar, melegfront, csendes eső;;🌤️ Légkör;közepes
Miért végez körforgást a víz a természetben? Melyek a víz körforgásának részei?;A víz a nap sugárzó energiája miatt párolog, ez indítja be és tartja fenn a víz körforgását. A párolgáson kívül a csapadék a lefolyás és a beszivárgás a víz körforgásának részei.;nap, párolgás, csapadék, lefolyás, beszivárgás;;💧 Vízburok;könnyű
Mely tényezők befolyásolják a tengervíz sótartalmát? Hogyan befolyásolják ezek a tényezők a a tengervíz sótartalmát?;"A tengervíz sótartalmát a csapadék és a párolgás befolyásolja. A sótartalom nagyobb, ahol nagyobb a párolgás és kevesebb a csapadék; kisebb a sótartalom, ahol kisebb a párolgás és több a csapadék.";csapadék, párolgás;;💧 Vízburok;közepes
Milyen két fő típusa van a tengereknek? Hogyan lehet a két típust egymástól megkülönböztetni?;"A tengerek két fő típusa a beltenger és a peremtenger. A beltenger tengerszorossal kapcsolódik az óceánhoz; a peremtengert szigetek és félszigetek választják el az óceántól.";beltenger, peremtenger, tengerszoros, szigetek;;💧 Vízburok;könnyű
Hogyan formálja a hullámzás a tengerpartokat? Hogy néznek ki a különböző hullámtípusok által formált tengerpartok?;A hullámtörés pusztító, a hullámmorajlás építő tevékenységet végez a tengerpartokon. A pusztuló partok magaspartok, az épülő partok lapospartok.;hullámtörés, hullámmorajlás, magaspart, lapospart;;💧 Vízburok;nehéz
Mit jelent a hőmérsékleti anomália fogalma? Hogyan okoznak a tengeráramlások hőmérsékleti anomáliát?;"A hőmérsékleti anomália azt jelenti, hogy egy terület hőmérséklete nagyobb vagy kisebb, mint az adott szélességi kör átlagos hőmérséklete. A meleg tengeráramlások fűtik a partokat, növelik az évi középhőmérsékletet; a hideg tengeráramlások hűtik a partokat, csökkentik az évi középhőmérsékletet.";szélességi kör, fűt, hűt;;💧 Vízburok;nehéz
Milyen megjelenési formái vannak a tengerjárásnak? Mely erők okozzák a tengerjárás kialakulását?;A tengerjárás megjelenési formái a dagály és az apály. A tengerjárást a Hold gravitációja és a Föld forgásából származó centrifugális erő okozza.;dagály, apály, gravitáció, centrifugális erő;;💧 Vízburok;közepes
Mi a hasonlóság és a különbség a talajvíz és a talajnedvesség kötött?;A talajvíz és a talajnedvesség egyaránt a felszín alatti víz egy megjelenési formája. A talajnedvesség a felszínhez közelebb helyezkedik el és nem tölti ki teljesen a szemcsék közötti pórusokat, van benne talajlevegő is. A talajvíz mélyebben helyezkedik el és teljesen kitölti a szemcsék közötti pórusokat.;felszín alatti víz, talajlevegő, pórus;;💧 Vízburok;nehéz
Nevezd meg a folyók szakaszjellegeit! A szakaszjellegek alapján mutasd be, hogy hogyan formálják a folyók a felszínt!;A folyók három szakaszjellegét különböztetjük meg: felső vagy bevágó, középső vagy oldalazó és alsó vagy feltöltő szakaszjelleg. A felső vagy bevágó szakaszon a folyók völgyeket alakítanak ki. A középső vagy oldalazó szakaszon a folyók kanyarulatokat és ezekről levágódó holtágakat hoznak létre. Az alsó vagy építő szakaszon a folyók szigeteket hoznak létre.;bevágó, oldalazó, feltöltő, völgy, holtág, sziget;;💧 Vízburok;közepes
Nevezd meg a folyótorkolatok típusait! Melyik folyótorkolat típus milyen tengertípusnál, milyen körülmények között alakul ki?;A folyótorkolatoknak két fő típusa van, a delta és a tölcsértorkolat. A deltatorkolatok beltengereknél alakulnak ki, mert kicsi az árapály szintkülönbsége, ezért a folyó lerakja a hordalékát. A tölcsér tokolatok peremtengereknél alakulnak ki, mert nagy az árapály szintkülönbsége, ezért a folyók hordalékát a tenger elszállítja.;delta, tölcsér, hordalék, árapály, beltenger, peremtenger;;💧 Vízburok;közepes
Nevezd meg a tavak keletkezésének három fő típusát! Melyik típusba tartozik a Balaton és pontosan hogyan keletkezett?;A tavak keletkezésének három fő típusa a kimélyítés, az elgátolás és a maradványtó. A Balaton kimélyítéssel keletkezett, mert a földkéreg süllyedése hozta létre tektonikai folyamat során.;kimélyítés, elgátolás, maradvány, süllyedés;;💧 Vízburok;könnyű
